NAME,0,1,2,3,4,5,6,7,8,9,10,11,
Malus domestica,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Malus_domestica
Euphorbia sp,,,,,,1,1,,,,,,https://en.wikipedia.org/wiki/Euphorbia
Lavandula angustifolia,,,,,,1,1,1,,,,,https://en.wikipedia.org/wiki/Lavandula_angustifolia
Ligustrum ovalifolium,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Ligustrum_ovalifolium
Castanea sativa,,,,,1,1,,,,,,,https://en.wikipedia.org/wiki/Castanea_sativa
Pyracantha coccinea,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Pyracantha_coccinea
Chitalpa taskentensis,,,,,,1,1,1,,,,,https://en.wikipedia.org/wiki/%C3%97_Chitalpa
Cupressus lusitanica,,1,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Cupressus_lusitanica
Tabebuia sp,,,,1,,,,,,,,1,https://en.wikipedia.org/wiki/Tabebuia
Tamarix africana,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Tamarix_africana
Abies sp,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Fir
Livistona australis,,,1,1,1,,,,,,,,https://en.wikipedia.org/wiki/Livistona_australis
Berberis chenaultii,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Berberis_vulgaris
Robinia hispida,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Robinia_hispida
Chaenomeles speciosa,,1,1,,,,,,,,,,https://en.wikipedia.org/wiki/Chaenomeles_speciosa
Musa paradisiaca,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Musa_%C3%97_paradisiaca
Pyrus bourgaeana,,,1,1,,,,,,,,,https://en.wikipedia.org/wiki/Pyrus_bourgaeana
Salix babylonica,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Salix_babylonica
Brachychiton acerifolius,,,,,,,1,1,,,,,https://en.wikipedia.org/wiki/Brachychiton_acerifolius
Lonicera implexa,,,1,1,1,1,,,,,,,https://en.wikipedia.org/wiki/Lonicera_implexa
Viburnum lucidum,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Viburnum
Schefflera actinophylla,,,,,1,1,1,,,,,,https://en.wikipedia.org/wiki/Heptapleurum_actinophyllum
Chaenomeles sinensis,,,,1,1,,,,,,,,https://en.wikipedia.org/wiki/Pseudocydonia
Pistacia lentiscus,,1,1,1,1,1,,,,,,,https://en.wikipedia.org/wiki/Pistacia_lentiscus
